Number,Task,Experiment,Gravity,Mean Consecutive Success,Stdev Consecutive Success,Max Consecutive Success
1,Ant,Ant_flat,"[0.0, 0.0, -9.81]",7.383,0.016,7.42
2,Ant,Ant_flat,"[0.0, 0.0, -9.81]",7.756,0.015,7.789
3,Ant,Ant_flat,"[0.0, 0.0, -9.81]",7.368,0.015,7.403
4,Ant,Ant_flat,"[0.0, 0.0, -9.81]",6.942,0.015,6.979
5,Ant,Ant_flat,"[0.0, 0.0, -9.81]",6.793,0.019,6.832
6,Ant,Ant_down05,"[0.855, 0.0, -9.77]",7.304,0.013,7.332
7,Ant,Ant_down05,"[0.855, 0.0, -9.77]",7.257,0.011,7.287
8,Ant,Ant_down05,"[0.855, 0.0, -9.77]",6.905,0.013,6.935
9,Ant,Ant_down05,"[0.855, 0.0, -9.77]",7.971,0.027,8.024
10,Ant,Ant_down05,"[0.855, 0.0, -9.77]",6.077,0.009,6.102
11,Ant,Ant_down10,"[1.7, 0.0, -9.66]",6.827,0.015,6.856
12,Ant,Ant_down10,"[1.7, 0.0, -9.66]",11.078,0.057,11.197
13,Ant,Ant_down10,"[1.7, 0.0, -9.66]",6.759,0.016,6.804
14,Ant,Ant_down10,"[1.7, 0.0, -9.66]",8.996,0.033,9.06
15,Ant,Ant_down10,"[1.7, 0.0, -9.66]",13.634,0.065,13.744
16,Ant,Ant_down20,"[2.54, 0.0, -9.475]",14.16,0.103,14.3
17,Ant,Ant_down20,"[2.54, 0.0, -9.475]",13.802,0.022,13.859
18,Ant,Ant_down20,"[2.54, 0.0, -9.475]",13.488,0.028,13.532
19,Ant,Ant_down20,"[2.54, 0.0, -9.475]",14.904,0.075,15.031
20,Ant,Ant_down20,"[2.54, 0.0, -9.475]",11.488,0.04,11.549
21,Ant,Ant_up05,"[-0.855, 0.0, -9.77]",5.986,0.018,6.024
22,Ant,Ant_up05,"[-0.855, 0.0, -9.77]",5.581,0.011,5.607
23,Ant,Ant_up05,"[-0.855, 0.0, -9.77]",6.509,0.019,6.557
24,Ant,Ant_up05,"[-0.855, 0.0, -9.77]",6.226,0.009,6.247
25,Ant,Ant_up05,"[-0.855, 0.0, -9.77]",5.046,0.017,5.085
26,Ant,Ant_up10,"[-1.7, 0.0, -9.66]",5.277,0.009,5.297
27,Ant,Ant_up10,"[-1.7, 0.0, -9.66]",5.428,0.021,5.47
28,Ant,Ant_up10,"[-1.7, 0.0, -9.66]",4.679,0.02,4.722
29,Ant,Ant_up10,"[-1.7, 0.0, -9.66]",7.317,0.017,7.352
30,Ant,Ant_up10,"[-1.7, 0.0, -9.66]",5.998,0.01,6.026
31,Ant,Ant_up20,"[-2.54, 0.0, -9.475]",3.792,0.01,3.813
32,Ant,Ant_up20,"[-2.54, 0.0, -9.475]",2.911,0.012,2.939
33,Ant,Ant_up20,"[-2.54, 0.0, -9.475]",3.984,0.011,4.007
34,Ant,Ant_up20,"[-2.54, 0.0, -9.475]",2.648,0.017,2.686
35,Ant,Ant_up20,"[-2.54, 0.0, -9.475]",5.28,0.016,5.312
36,Ant3,Ant3_flat,"[0.0, 0.0, -9.81]",6.452,0.017,6.486
37,Ant3,Ant3_flat,"[0.0, 0.0, -9.81]",7.331,0.015,7.362
38,Ant3,Ant3_flat,"[0.0, 0.0, -9.81]",6.84,0.012,6.874
39,Ant3,Ant3_flat,"[0.0, 0.0, -9.81]",8.019,0.008,8.034
40,Ant3,Ant3_flat,"[0.0, 0.0, -9.81]",8.05,0.012,8.077
41,Ant3,Ant3_down05,"[0.855, 0.0, -9.77]",8.061,0.023,8.12
42,Ant3,Ant3_down05,"[0.855, 0.0, -9.77]",7.585,0.016,7.619
43,Ant3,Ant3_down05,"[0.855, 0.0, -9.77]",7.682,0.015,7.71
44,Ant3,Ant3_down05,"[0.855, 0.0, -9.77]",7.419,0.019,7.46
45,Ant3,Ant3_down05,"[0.855, 0.0, -9.77]",7.03,0.014,7.056
46,Ant3,Ant3_down10,"[1.7, 0.0, -9.66]",10.877,0.065,11.007
47,Ant3,Ant3_down10,"[1.7, 0.0, -9.66]",10.313,0.073,10.441
48,Ant3,Ant3_down10,"[1.7, 0.0, -9.66]",9.717,0.057,9.837
49,Ant3,Ant3_down10,"[1.7, 0.0, -9.66]",10.262,0.072,10.373
50,Ant3,Ant3_down10,"[1.7, 0.0, -9.66]",9.569,0.013,9.604
51,Ant3,Ant3_down20,"[2.54, 0.0, -9.475]",11.009,0.081,11.177
52,Ant3,Ant3_down20,"[2.54, 0.0, -9.475]",17.594,0.113,17.832
53,Ant3,Ant3_down20,"[2.54, 0.0, -9.475]",11.216,0.13,11.45
54,Ant3,Ant3_down20,"[2.54, 0.0, -9.475]",15.024,0.044,15.114
55,Ant3,Ant3_down20,"[2.54, 0.0, -9.475]",10.868,0.04,10.949
56,Ant3,Ant3_up05,"[-0.855, 0.0, -9.77]",6.474,0.01,6.495
57,Ant3,Ant3_up05,"[-0.855, 0.0, -9.77]",6.496,0.015,6.526
58,Ant3,Ant3_up05,"[-0.855, 0.0, -9.77]",5.468,0.014,5.507
59,Ant3,Ant3_up05,"[-0.855, 0.0, -9.77]",6.681,0.025,6.739
