Number,Task,Experiment,Gravity,Mean Consecutive Success,Stdev Consecutive Success,Max Consecutive Success
1,Ant,Ant_flat,"[0.0, 0.0, -9.81]",11.155,0.025,11.198
2,Ant,Ant_down05,"[0.855, 0.0, -9.77]",8.694,0.024,8.736
3,Ant,Ant_down10,"[1.7, 0.0, -9.66]",10.828,0.024,10.88
4,Ant,Ant_down15,"[2.54, 0.0, -9.475]",22.987,0.402,23.643
5,Ant,Ant_down20,"[3.36, 0.0, -9.22]",21.094,0.213,21.464
6,Ant,Ant_up05,"[-0.855, 0.0, -9.77]",8.66,0.042,8.739
7,Ant,Ant_up10,"[-1.7, 0.0, -9.66]",7.349,0.019,7.4
8,Ant,Ant_up15,"[-2.54, 0.0, -9.475]",8.681,0.02,8.713
9,Ant,Ant_up20,"[-3.36, 0.0, -9.22]",0.004,0.0,0.004
10,Ant3,Ant3_flat,"[0.0, 0.0, -9.81]",10.417,0.015,10.449
11,Ant3,Ant3_down05,"[0.855, 0.0, -9.77]",9.264,0.021,9.32
12,Ant3,Ant3_down10,"[1.7, 0.0, -9.66]",10.654,0.029,10.71
13,Ant3,Ant3_down15,"[2.54, 0.0, -9.475]",18.991,0.033,19.057
14,Ant3,Ant3_down20,"[3.36, 0.0, -9.22]",20.368,0.188,20.719
15,Ant3,Ant3_up05,"[-0.855, 0.0, -9.77]",9.148,0.01,9.169
16,Ant3,Ant3_up10,"[-1.7, 0.0, -9.66]",8.303,0.038,8.376
17,Ant3,Ant3_up15,"[-2.54, 0.0, -9.475]",5.227,0.014,5.265
18,Ant3,Ant3_up20,"[-3.36, 0.0, -9.22]",6.467,0.015,6.503
19,Humanoid,Humanoid_flat,"[0.0, 0.0, -9.81]",5.614,0.234,6.043
20,Humanoid,Humanoid_flat,"[0.0, 0.0, -9.81]",5.614,0.234,6.043
21,Humanoid,Humanoid_down05,"[0.855, 0.0, -9.77]",7.986,0.008,8.002
22,Humanoid,Humanoid_down10,"[1.7, 0.0, -9.66]",9.145,0.018,9.175
23,Humanoid,Humanoid_down15,"[2.54, 0.0, -9.475]",8.275,0.027,8.317
24,Humanoid,Humanoid_down20,"[3.36, 0.0, -9.22]",8.278,0.106,8.5
25,Humanoid,Humanoid_up05,"[-0.855, 0.0, -9.77]",6.644,0.243,7.065
26,Humanoid,Humanoid_up10,"[-1.7, 0.0, -9.66]",4.223,0.046,4.293
27,Humanoid,Humanoid_up15,"[-2.54, 0.0, -9.475]",3.88,0.079,3.979
28,Humanoid,Humanoid_up20,"[-3.36, 0.0, -9.22]",1.907,0.029,1.989
29,Anymal,Anymal_flat,"[0.0, 0.0, -9.81]",-0.018,0.0,-0.017
30,Anymal,Anymal_down05,"[0.855, 0.0, -9.77]",-0.02,0.0,-0.02
31,Anymal,Anymal_down10,"[1.7, 0.0, -9.66]",-0.025,0.001,-0.024
32,Anymal,Anymal_down15,"[2.54, 0.0, -9.475]",-0.029,0.0,-0.028
33,Anymal,Anymal_down20,"[3.36, 0.0, -9.22]",-0.051,0.002,-0.047
34,Anymal,Anymal_up05,"[-0.855, 0.0, -9.77]",-0.017,0.001,-0.016
35,Anymal,Anymal_up10,"[-1.7, 0.0, -9.66]",-0.017,0.0,-0.016
36,Anymal,Anymal_up15,"[-2.54, 0.0, -9.475]",-0.03,0.0,-0.029
37,Anymal,Anymal_up20,"[-3.36, 0.0, -9.22]",-0.048,0.001,-0.046
38,Ant,Ant_random_flat,"[0.0, 0.0, -9.81]",10.413,0.015,10.442
39,Ant,Ant_random_down10,"[2.54, 0.0, -9.475]",15.636,0.033,15.706
40,Ant3,Ant3_random_flat,"[0.0, 0.0, -9.81]",9.254,0.016,9.289
41,Ant3,Ant3_random_down10,"[2.54, 0.0, -9.475]",17.946,0.035,18.004
42,Humanoid,Humanoid_random_flat,"[0.0, 0.0, -9.81]",8.18,0.097,8.316
43,Humanoid,Humanoid_random_down10,"[2.54, 0.0, -9.475]",9.17,0.037,9.231
44,Anymal,Anymal_random_flat,"[0.0, 0.0, -9.81]",-0.014,0.0,-0.014
45,Anymal,Anymal_random_down10,"[2.54, 0.0, -9.475]",-0.043,0.001,-0.04
